CO (ppm),PM10 (µg/m3),NO2 (ppb),Suhu (°C),Kelembaban (%),Kecepatan Angin (m/s),Kategori Kualitas Udara
3.4,48.2,98.2,29.4,76.1,2.6,Tidak Sehat
10.4,78.8,10.0,27.8,88.3,3.3,Tidak Sehat
6.6,36.5,19.7,30.8,78.1,3.2,Sedang
0.1,86.0,55.4,27.2,68.9,3.1,Sedang
5.5,49.2,45.4,29.4,79.6,1.7,Sedang
3.3,21.4,50.5,25.5,70.4,0.6,Sedang
7.1,52.6,54.7,27.9,68.1,2.1,Sedang
3.0,36.4,59.0,27.6,63.5,3.5,Sedang
4.7,66.8,73.3,28.6,57.5,3.9,Sedang
6.3,36.9,52.3,27.1,71.1,3.2,Sedang
7.2,41.1,32.8,27.7,76.6,2.9,Sedang
2.0,12.2,60.2,30.1,74.0,2.9,Sedang
4.2,41.0,97.0,26.9,70.8,1.9,Tidak Sehat
3.8,10.0,36.0,24.0,65.5,2.4,Baik
3.4,18.3,10.8,32.4,81.1,4.2,Baik
9.4,65.2,73.2,31.5,61.8,1.6,Tidak Sehat
6.0,65.7,36.4,24.8,82.8,4.1,Sedang
1.8,58.5,5.0,29.7,65.0,2.2,Sedang
7.3,30.7,65.4,26.7,67.5,3.8,Sedang
10.3,49.0,23.9,28.7,60.3,1.1,Tidak Sehat
7.6,49.9,37.3,28.7,70.0,3.1,Sedang
1.2,26.8,50.0,27.4,84.8,1.8,Sedang
3.8,80.1,45.7,26.0,80.2,1.1,Sedang
8.2,67.5,61.3,26.3,84.8,2.7,Tidak Sehat
3.2,45.6,26.9,25.7,80.2,3.5,Baik
6.1,50.5,55.4,25.9,64.0,1.7,Sedang
6.9,54.2,32.2,27.8,71.7,1.0,Sedang
2.7,10.0,62.2,26.2,67.2,2.4,Sedang
4.9,45.1,58.5,29.7,88.3,2.4,Sedang
0.1,36.4,11.9,31.7,63.0,3.0,Baik
2.4,30.0,72.6,26.5,83.9,3.4,Sedang
4.4,44.4,23.9,28.6,83.9,2.4,Sedang
1.9,86.0,64.2,29.2,93.3,4.4,Sedang
9.1,62.8,51.0,29.2,70.9,2.7,Tidak Sehat
1.4,38.6,95.1,28.2,82.1,2.2,Tidak Sehat
3.9,61.5,33.3,29.9,95.0,0.9,Sedang
5.3,78.0,29.5,29.2,68.8,2.2,Sedang
8.6,68.5,39.4,24.9,59.6,2.2,Tidak Sehat
1.4,51.2,30.9,30.2,56.2,3.5,Sedang
7.9,37.1,64.0,30.2,82.1,3.0,Sedang
5.0,64.0,5.0,26.1,56.2,1.3,Sedang
2.5,57.9,8.4,28.1,71.3,2.7,Sedang
6.2,67.9,8.0,29.7,79.4,3.2,Sedang
5.5,62.7,68.5,27.5,76.9,4.0,Sedang
3.5,71.0,91.3,30.7,79.3,3.4,Tidak Sehat
5.2,39.3,36.9,33.9,77.2,3.3,Sedang
4.0,76.3,34.9,26.0,87.8,2.6,Sedang
5.3,54.0,42.1,24.5,65.5,2.9,Sedang
6.7,91.5,74.9,28.8,68.2,3.7,Sedang
9.0,36.2,12.2,29.8,67.3,1.2,Tidak Sehat
1.9,84.7,47.2,27.4,83.3,2.2,Sedang
10.3,54.0,69.3,31.6,84.0,1.7,Tidak Sehat
0.1,37.0,55.0,24.7,79.5,2.9,Sedang
4.6,40.3,45.7,29.7,86.8,3.7,Sedang
6.5,43.6,70.0,26.5,63.2,1.9,Sedang
5.7,58.5,5.0,32.3,91.7,0.5,Sedang
3.4,60.5,60.3,33.0,90.2,2.1,Sedang
4.5,38.5,20.4,26.1,82.4,3.4,Sedang
3.8,49.5,5.0,26.6,92.8,3.0,Baik
3.5,92.8,55.3,30.1,58.4,2.9,Sedang
7.1,84.6,81.2,27.0,69.8,2.2,Tidak Sehat
5.9,58.7,35.9,27.9,67.6,1.2,Sedang
3.3,50.8,68.6,28.1,82.2,3.0,Sedang
7.2,52.4,88.4,23.2,64.5,1.7,Tidak Sehat
5.8,62.3,79.4,28.0,82.6,4.7,Sedang
7.0,29.5,89.2,26.3,88.7,3.1,Tidak Sehat
6.6,44.9,62.3,26.8,82.0,1.9,Sedang
2.9,16.6,42.3,31.6,77.8,1.9,Sedang
3.6,58.0,5.0,24.9,65.1,2.4,Sedang
6.9,62.9,32.6,30.0,66.5,2.3,Sedang
6.5,40.3,14.7,27.3,87.5,3.6,Sedang
4.9,81.5,105.1,27.3,82.8,2.7,Tidak Sehat
5.3,25.5,34.7,30.0,74.6,1.8,Sedang
8.2,20.7,43.7,28.9,70.8,4.4,Tidak Sehat
3.5,54.5,56.5,29.4,54.7,2.5,Sedang
6.4,70.9,41.3,30.4,64.3,3.3,Sedang
4.5,83.7,90.9,27.2,94.1,1.9,Tidak Sehat
4.5,40.8,21.3,26.5,62.2,2.9,Sedang
7.7,71.6,45.8,25.3,76.9,2.8,Sedang
7.1,49.2,17.7,25.9,85.1,0.6,Sedang
7.0,46.5,5.0,35.0,62.5,4.5,Sedang
8.3,67.7,21.6,31.1,76.8,3.8,Tidak Sehat
5.1,63.0,38.9,24.6,84.4,2.1,Sedang
6.7,18.5,27.1,24.7,75.1,1.4,Sedang
4.2,79.5,19.2,29.2,95.0,2.8,Sedang
5.8,77.6,5.0,29.4,58.3,2.6,Sedang
4.7,37.5,37.5,29.4,85.6,2.9,Sedang
5.2,57.9,5.0,27.4,73.3,2.7,Sedang
6.5,59.9,62.8,27.7,82.7,3.0,Sedang
3.0,55.2,42.5,28.8,79.4,3.9,Sedang
10.2,39.0,5.0,28.2,67.7,3.1,Tidak Sehat
2.5,36.6,30.7,22.5,77.3,1.5,Baik
2.0,49.5,17.4,27.4,56.4,3.9,Baik
7.9,73.5,49.6,25.9,81.0,4.1,Sedang
7.0,60.9,80.2,28.4,78.0,5.7,Sedang
6.6,42.6,5.0,35.0,81.4,1.4,Sedang
6.6,65.4,43.5,28.9,85.6,2.7,Sedang
5.0,10.0,35.2,27.2,78.7,0.5,Sedang
2.8,73.0,60.1,30.3,76.5,3.1,Sedang
5.2,15.2,46.4,29.2,66.2,2.0,Sedang
3.3,42.8,17.4,29.1,67.9,4.4,Baik
7.4,27.6,30.4,29.5,86.9,1.7,Sedang
4.6,24.1,16.1,33.1,89.4,0.8,Sedang
2.9,73.2,72.3,25.2,72.6,2.0,Sedang
4.2,40.6,40.6,29.2,75.5,0.5,Sedang
6.0,56.9,97.0,25.7,66.0,3.3,Tidak Sehat
3.6,49.1,38.2,29.4,86.7,0.5,Baik
2.9,59.5,18.7,25.7,81.7,2.5,Sedang
5.6,51.5,5.0,27.0,94.4,0.5,Sedang
5.6,24.3,5.0,27.3,66.2,2.2,Sedang
3.7,69.9,5.0,30.4,71.2,4.1,Sedang
3.8,40.1,48.0,30.3,77.3,2.9,Sedang
5.6,18.9,55.3,24.9,81.5,1.6,Sedang
1.4,41.4,5.0,28.1,72.8,2.5,Baik
1.5,80.0,66.9,26.2,66.3,2.5,Sedang
3.2,67.0,25.5,24.9,83.8,3.0,Sedang
4.5,43.0,44.4,27.5,82.2,1.1,Sedang
5.8,43.0,88.4,27.2,65.8,3.1,Tidak Sehat
8.7,43.6,66.9,34.1,88.6,0.5,Tidak Sehat
7.1,91.5,31.9,29.1,86.7,1.9,Sedang
4.6,57.6,13.3,24.6,76.3,2.0,Sedang
5.0,58.6,5.0,26.6,75.8,3.1,Sedang
2.5,70.6,18.4,30.6,80.5,2.5,Sedang
5.0,54.8,33.7,33.2,66.4,1.1,Sedang
4.3,44.8,10.4,24.0,75.3,1.5,Sedang
5.8,46.1,36.1,23.3,53.5,2.7,Sedang
2.9,48.6,42.3,32.7,83.8,2.4,Sedang
6.3,49.3,33.3,29.0,59.4,1.9,Sedang
8.8,64.6,20.5,25.8,90.0,2.0,Tidak Sehat
4.7,51.0,45.1,29.3,71.7,3.2,Sedang
6.0,64.7,53.3,22.0,72.9,2.0,Sedang
6.7,48.4,7.3,28.0,68.7,2.4,Sedang
4.0,51.6,82.3,28.8,72.1,4.7,Tidak Sehat
5.6,10.0,37.0,30.3,89.2,1.1,Sedang
5.0,68.3,40.6,25.5,50.1,0.6,Sedang
5.2,56.9,61.2,28.2,87.8,3.3,Sedang
3.1,70.0,47.0,25.7,78.4,1.8,Sedang
5.1,10.0,68.6,28.6,62.9,2.2,Sedang
6.2,91.8,48.6,25.8,64.2,1.7,Sedang
8.6,47.2,21.6,27.0,91.8,2.2,Tidak Sehat
7.4,72.2,50.8,25.5,65.5,4.1,Sedang
10.4,29.2,5.7,29.6,63.5,3.3,Tidak Sehat
3.1,62.3,43.3,30.1,86.4,3.4,Sedang
7.2,28.9,39.0,27.4,78.4,1.1,Sedang
5.5,37.5,33.8,28.1,65.6,1.3,Sedang
10.5,88.3,36.1,24.4,77.2,0.5,Tidak Sehat
3.0,46.2,5.0,27.3,64.7,1.7,Baik
2.9,54.3,23.5,27.9,86.0,3.5,Sedang
3.5,67.4,42.8,34.6,85.6,3.0,Sedang
0.1,59.9,44.8,25.2,80.3,2.3,Sedang
3.7,53.0,9.2,31.7,78.6,2.5,Sedang
3.1,57.3,78.0,30.5,92.6,1.8,Sedang
5.4,98.1,14.0,28.7,75.0,2.7,Sedang
5.9,48.8,69.1,32.4,63.2,3.3,Sedang
9.7,54.0,52.8,28.9,79.5,0.9,Tidak Sehat
7.4,71.0,20.6,29.0,95.0,2.8,Sedang
3.6,72.1,93.3,27.9,64.9,3.4,Tidak Sehat
2.8,73.7,5.0,31.1,71.4,2.1,Sedang
6.2,62.8,67.6,30.7,79.2,3.2,Sedang
1.7,27.1,70.0,26.4,74.5,5.3,Sedang
9.6,82.7,19.9,24.7,65.2,2.4,Tidak Sehat
7.9,27.1,81.8,27.5,86.2,2.9,Tidak Sehat
3.8,56.1,32.5,26.0,95.0,1.8,Sedang
0.7,34.9,48.7,27.8,77.0,2.7,Sedang
8.4,48.7,47.8,31.1,66.0,3.0,Tidak Sehat
4.7,56.6,36.0,26.9,59.5,2.7,Sedang
8.1,56.4,64.3,27.9,77.6,1.5,Tidak Sehat
1.0,58.4,63.8,28.1,86.0,2.7,Sedang
3.5,82.3,5.0,30.1,79.8,4.0,Sedang
5.0,59.1,79.1,22.4,75.0,2.9,Sedang
5.1,45.1,5.0,26.5,69.1,3.5,Sedang
3.9,69.3,71.0,28.5,64.1,2.3,Sedang
6.6,73.8,73.8,31.0,83.3,3.2,Sedang
2.3,25.4,7.3,26.8,84.1,2.8,Baik
4.6,61.9,27.7,23.3,59.5,1.5,Sedang
5.3,64.0,6.8,29.5,90.9,2.8,Sedang
6.3,44.0,33.6,26.4,80.7,1.5,Sedang
6.8,77.5,30.8,25.0,89.0,1.9,Sedang
2.2,47.0,63.4,26.4,61.6,2.7,Sedang
1.2,52.5,79.3,27.5,61.3,2.8,Sedang
8.2,46.5,81.9,26.5,73.5,1.3,Tidak Sehat
5.8,50.3,23.1,22.5,80.0,3.6,Sedang
3.1,28.1,33.7,30.2,93.0,3.1,Baik
8.9,21.2,5.0,31.2,82.1,1.8,Tidak Sehat
5.3,81.9,15.8,29.6,72.6,1.0,Sedang
7.9,33.1,68.9,25.2,64.7,2.4,Sedang
5.2,30.2,88.5,27.5,87.3,2.1,Tidak Sehat
10.2,10.0,5.0,28.0,65.4,2.6,Tidak Sehat
9.4,37.2,22.2,29.5,91.3,2.1,Tidak Sehat
4.4,23.5,39.2,29.7,72.2,0.5,Sedang
7.4,82.8,48.4,26.2,90.9,2.1,Sedang
6.6,70.2,15.7,28.2,81.8,2.2,Sedang
8.4,36.2,52.7,29.1,73.6,3.1,Tidak Sehat
2.6,95.0,25.8,31.6,69.8,1.8,Sedang
6.7,69.6,39.6,29.8,71.6,4.2,Sedang
7.6,43.5,56.4,30.0,79.3,0.6,Sedang
0.6,10.0,40.2,28.2,75.8,3.8,Baik
2.0,95.8,26.9,31.5,69.1,2.3,Sedang
0.1,22.2,36.7,29.0,73.3,3.4,Baik
4.3,17.1,37.3,25.8,75.8,2.6,Sedang
6.8,70.5,28.9,31.5,53.7,3.6,Sedang
8.8,98.8,32.2,29.7,79.6,2.1,Tidak Sehat
5.2,77.7,88.0,26.9,65.2,1.4,Tidak Sehat
9.1,61.3,56.8,26.8,63.5,3.9,Tidak Sehat
1.5,61.9,31.1,28.7,58.1,2.4,Sedang
0.7,67.1,60.9,29.2,57.1,2.7,Sedang
4.9,65.2,30.0,28.5,61.4,3.7,Sedang
6.0,55.6,75.2,28.8,67.9,1.5,Sedang
4.9,52.1,51.1,32.2,94.5,3.1,Sedang
0.1,48.7,36.8,30.7,69.7,1.9,Baik
4.8,34.9,53.4,28.5,76.8,2.4,Sedang
1.7,44.4,5.0,30.4,79.0,2.6,Baik
6.7,16.1,6.2,25.4,76.3,1.0,Sedang
5.9,48.0,5.0,29.0,74.2,1.7,Sedang
2.7,30.2,44.3,32.5,63.0,3.9,Sedang
3.7,27.9,92.0,27.5,89.5,3.4,Tidak Sehat
2.4,53.6,106.9,25.9,93.1,2.4,Tidak Sehat
4.8,77.8,59.1,26.4,58.2,2.7,Sedang
7.4,68.4,55.0,25.3,64.8,2.2,Sedang
2.5,18.6,5.0,26.0,72.2,3.9,Baik
6.3,30.2,23.7,27.1,65.4,2.3,Sedang
3.7,68.8,16.4,24.5,80.1,2.7,Sedang
3.0,30.4,21.4,28.0,67.7,3.6,Baik
4.7,45.5,35.0,30.3,95.0,1.7,Sedang
2.4,61.0,25.8,25.7,86.9,4.1,Sedang
3.6,30.6,5.0,31.8,77.1,1.0,Baik
2.0,52.1,62.4,29.3,85.3,4.1,Sedang
9.9,23.3,7.8,30.6,86.1,2.1,Tidak Sehat
5.1,38.0,47.2,26.4,69.4,2.3,Sedang
3.3,56.4,102.2,30.1,66.8,0.6,Tidak Sehat
5.5,18.1,12.4,25.3,75.8,2.0,Sedang
4.7,58.8,5.0,30.2,83.6,1.5,Sedang
4.4,49.6,31.4,28.4,76.4,1.9,Sedang
6.5,61.0,73.0,29.4,59.2,2.4,Sedang
